Origin City,Origin Code,Arrival,Flight,Airline,Terminal,Status,Date,Reference Day,url,Date_Time,Origin Country,Parent Company
Temuco,(ZCO),18:39,H2148,Sky Airline,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 18:39:00,Chile,Sky Airline S.A.
Calama,(CJC),18:52,LA371,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 18:52:00,Chile,LATAM Airlines Group
Iquique,(IQQ),18:55,LA1259,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 18:55:00,Chile,LATAM Airlines Group
Balmaceda,(BBA),19:00,H234,Sky Airline,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:00:00,Chile,Sky Airline S.A.
Panama City,(PTY),19:17,CM395,Copa Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:17:00,Panama,Copa Holdings
Iquique,(IQQ),19:18,LA903,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:18:00,Chile,LATAM Airlines Group
Puerto Montt,(PMC),19:20,LA1156,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:20:00,Chile,LATAM Airlines Group
Antofagasta,(ANF),19:27,JA27,JetSMART,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:27:00,Chile,Indigo Partners
Temuco,(ZCO),19:38,LA30,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:38:00,Chile,LATAM Airlines Group
Sao Paulo,(GRU),19:40,LA759,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:40:00,Brazil,LATAM Airlines Group
Sao Paulo,(GRU),19:40,QF3895,Qantas,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:40:00,Brazil,Qantas Airways Limited
La Serena,(LSC),19:45,LA107,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:45:00,Chile,LATAM Airlines Group
Montevideo,(MVD),19:46,JA701,JetSMART,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:46:00,Uruguay,Indigo Partners
Copiapo,(CPO),19:50,LA119,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:50:00,Chile,LATAM Airlines Group
Antofagasta,(ANF),19:53,LA363,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:53:00,Chile,LATAM Airlines Group
Rio De Janeiro,(GIG),19:57,LA771,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:57:00,Brazil,LATAM Airlines Group
Rio De Janeiro,(GIG),19:57,DL7359,Delta Air Lines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:57:00,Brazil,Delta Air Lines Inc.
Rio De Janeiro,(GIG),19:57,QF3885,Qantas,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 19:57:00,Brazil,Qantas Airways Limited
La Serena,(LSC),20:00,JA121,JetSMART,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:00:00,Chile,Indigo Partners
Madrid,(MAD),20:00,LA707,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:00:00,Spain,LATAM Airlines Group
Madrid,(MAD),20:00,IB7180,Iberia,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:00:00,Spain,International Airlines Group
Copiapo,(CPO),20:10,H2225,Sky Airline,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:10:00,Chile,Sky Airline S.A.
Buenos Aires,(EZE),20:15,H2508,Sky Airline,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:15:00,Argentina,Sky Airline S.A.
Antofagasta,(ANF),20:32,LA341,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:32:00,Chile,LATAM Airlines Group
Guayaquil,(GYE),20:34,LA1447,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:34:00,Ecuador,LATAM Airlines Group
Puerto Montt,(PMC),20:37,H278,Sky Airline,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:37:00,Chile,Sky Airline S.A.
Concepcion,(CCP),20:41,LA6,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:41:00,Chile,LATAM Airlines Group
Concepcion,(CCP),20:41,DL7396,Delta Air Lines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:41:00,Chile,Delta Air Lines Inc.
Buenos Aires,(EZE),20:48,LA476,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:48:00,Argentina,LATAM Airlines Group
Lima,(LIM),20:50,H25801,Sky Airline,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 20:50:00,Peru,Sky Airline S.A.
Calama,(CJC),21:03,H2251,Sky Airline,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:03:00,Chile,Sky Airline S.A.
Buenos Aires,(AEP),21:05,AR1282,Aerolineas Argentinas,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:05:00,Argentina,Argentine government
Buenos Aires,(AEP),21:05,AM7526,Aeromexico,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:05:00,Argentina,Delta Air Lines Inc.
Buenos Aires,(AEP),21:05,AZ4654,ITA Airways,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:05:00,Argentina,Italian government
Buenos Aires,(AEP),21:05,DL7603,Delta Air Lines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:05:00,Argentina,Delta Air Lines Inc.
Buenos Aires,(AEP),21:05,KL9224,KLM Royal Dutch Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:05:00,Argentina,Air France-KLM
Buenos Aires,(AEP),21:05,UX3056,Air Europa,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:05:00,Argentina,Globalia
Calama,(CJC),21:07,LA381,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:07:00,Chile,LATAM Airlines Group
Copiapo,(CPO),21:10,LA333,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:10:00,Chile,LATAM Airlines Group
Copiapo,(CPO),21:10,IB7076,Iberia,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:10:00,Chile,International Airlines Group
Sao Paulo,(GRU),21:10,LA753,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:10:00,Brazil,LATAM Airlines Group
Sao Paulo,(GRU),21:10,DL6014,Delta Air Lines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:10:00,Brazil,Delta Air Lines Inc.
Sao Paulo,(GRU),21:10,QF3898,Qantas,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:10:00,Brazil,Qantas Airways Limited
Copiapo,(CPO),21:17,H2491,Sky Airline,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:17:00,Chile,Sky Airline S.A.
Antofagasta,(ANF),21:27,LA343,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:27:00,Chile,LATAM Airlines Group
Temuco,(ZCO),21:42,LA32,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:42:00,Chile,LATAM Airlines Group
Temuco,(ZCO),21:42,IB7081,Iberia,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:42:00,Chile,International Airlines Group
Iquique,(IQQ),21:48,LA177,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:48:00,Chile,LATAM Airlines Group
Bogota,(BOG),21:55,LA581,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:55:00,Colombia,LATAM Airlines Group
Bogota,(BOG),21:55,DL7381,Delta Air Lines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:55:00,Colombia,Delta Air Lines Inc.
Bogota,(BOG),21:55,QF4203,Qantas,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:55:00,Colombia,Qantas Airways Limited
Concepcion,(CCP),21:55,JA106,JetSMART,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:55:00,Chile,Indigo Partners
Antofagasta,(ANF),21:59,LA133,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:59:00,Chile,LATAM Airlines Group
Antofagasta,(ANF),21:59,DL6027,Delta Air Lines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:59:00,Chile,Delta Air Lines Inc.
Antofagasta,(ANF),21:59,QF3880,Qantas,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:59:00,Chile,Qantas Airways Limited
La Serena,(LSC),21:59,H2463,Sky Airline,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 21:59:00,Chile,Sky Airline S.A.
Concepcion,(CCP),22:02,LA208,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 22:02:00,Chile,LATAM Airlines Group
Calama,(CJC),22:11,LA377,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 22:11:00,Chile,LATAM Airlines Group
Trujillo,(TRU),22:20,JA495,JetSMART,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 22:20:00,Peru,Indigo Partners
Puerto Montt,(PMC),22:30,LA264,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 22:30:00,Chile,LATAM Airlines Group
Concepcion,(CCP),22:42,LA18,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 22:42:00,Chile,LATAM Airlines Group
Concepcion,(CCP),22:42,DL6002,Delta Air Lines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 22:42:00,Chile,Delta Air Lines Inc.
Curitiba,(CWB),22:50,LA783,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 22:50:00,Brazil,LATAM Airlines Group
Curitiba,(CWB),22:50,DL6287,Delta Air Lines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 22:50:00,Brazil,Delta Air Lines Inc.
Bogota,(BOG),22:55,AV241,Avianca,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 22:55:00,Colombia,Avianca Holdings S.A.
Calama,(CJC),23:07,LA379,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:07:00,Chile,LATAM Airlines Group
Panama City,(PTY),23:16,CM111,Copa Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:16:00,Panama,Copa Holdings
Buenos Aires,(AEP),23:22,LA424,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:22:00,Argentina,LATAM Airlines Group
Iguassu Falls,(IGU),23:24,JA561,JetSMART,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:24:00,Brazil,Indigo Partners
Iquique,(IQQ),23:25,JA117,JetSMART,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:25:00,Chile,Indigo Partners
Lima,(LIM),23:25,LA2373,LATAM Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:25:00,Peru,LATAM Airlines Group
Antofagasta,(ANF),23:26,JA29,JetSMART,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:26:00,Chile,Indigo Partners
Antofagasta,(ANF),23:29,LA345,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:29:00,Chile,LATAM Airlines Group
Panama City,(PTY),23:34,CM497,Copa Airlines,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:34:00,Panama,Copa Holdings
Buenos Aires,(AEP),23:35,H2536,Sky Airline,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:35:00,Argentina,Sky Airline S.A.
Florianopolis,(FLN),23:40,H2631,Sky Airline,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:40:00,Brazil,Sky Airline S.A.
Iquique,(IQQ),23:40,LA901,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:40:00,Chile,LATAM Airlines Group
Iquique,(IQQ),23:40,IB7252,Iberia,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:40:00,Chile,International Airlines Group
Arica,(ARI),23:50,H2305,Sky Airline,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:50:00,Chile,Sky Airline S.A.
Calama,(CJC),23:50,LA153,LATAM Airlines,1,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:50:00,Chile,LATAM Airlines Group
Campinas,(VCP),23:50,KE274,Korean Air,2,Scheduled [+],2023-05-04,tomorrow,https://www.santiago-airport.com/scl-arrivals?day=tomorrow&tp=18,2023-05-04 23:50:00,,Hanjin Group
