Destination City,Destination Code,Departure,Flight,Airline,Terminal,Status,Date,Reference Day,url,Date_Time,Destination Country,Parent Company
Lima,(LIM),05:06,JZ7501,JetSMART Airlines Peru,2,Landed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 05:06:00,Peru,Indigo Partners
Iquique,(IQQ),05:18,LA162,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 05:18:00,Chile,LATAM Airlines Group
Calama,(CJC),05:30,LA146,LATAM Airlines,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 05:30:00,Chile,LATAM Airlines Group
Iquique,(IQQ),05:39,H2320,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 05:39:00,Chile,Sky Airline S.A.
La Paz,(LPB),05:48,LA892,LATAM Airlines,2,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 05:48:00,,LATAM Airlines Group
Sao Paulo,(GRU),05:55,H2600,Sky Airline,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 05:55:00,Brazil,Sky Airline S.A.
Antofagasta,(ANF),05:59,H2274,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 05:59:00,Chile,Sky Airline S.A.
Concepcion,(CCP),06:00,LA11,LATAM Airlines,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:00:00,Chile,LATAM Airlines Group
Sao Paulo,(GRU),06:00,LA8133,LATAM Airlines,2,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:00:00,Brazil,LATAM Airlines Group
Sao Paulo,(GRU),06:00,BA4301,British Airways,2,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:00:00,Brazil,International Airlines Group
Sao Paulo,(GRU),06:00,DL6221,Delta Air Lines,2,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:00:00,Brazil,Delta Air Lines Inc.
Sao Paulo,(GRU),06:00,QF3913,Qantas,2,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:00:00,Brazil,Qantas Airways Limited
Montevideo,(MVD),06:00,JA700,JetSMART,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:00:00,Uruguay,Indigo Partners
Calama,(CJC),06:05,LA142,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:05:00,Chile,LATAM Airlines Group
Bogota,(BOG),06:10,AV98,Avianca,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:10:00,Colombia,Avianca Holdings S.A.
Lima,(LIM),06:10,LA2378,LATAM Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:10:00,Peru,LATAM Airlines Group
Punta Arenas,(PUQ),06:10,LA1161,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:10:00,Chile,LATAM Airlines Group
Arica,(ARI),06:11,H2300,Sky Airline,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:11:00,Chile,Sky Airline S.A.
Buenos Aires,(AEP),06:14,JA1001,JetSMART,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:14:00,Argentina,Indigo Partners
Antofagasta,(ANF),06:14,JA20,JetSMART,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:14:00,Chile,Indigo Partners
Iquique,(IQQ),06:18,LA908,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:18:00,Chile,LATAM Airlines Group
Concepcion,(CCP),06:24,JA101,JetSMART,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:24:00,Chile,Indigo Partners
Antofagasta,(ANF),06:31,LA122,LATAM Airlines,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 06:31:00,Chile,LATAM Airlines Group
Antofagasta,(ANF),07:00,LA124,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:00:00,Chile,LATAM Airlines Group
Balmaceda,(BBA),07:00,LA271,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:00:00,Chile,LATAM Airlines Group
Concepcion,(CCP),07:00,LA17,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:00:00,Chile,LATAM Airlines Group
Calama,(CJC),07:00,LA386,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:00:00,Chile,LATAM Airlines Group
Copiapo,(CPO),07:14,LA118,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:14:00,Chile,LATAM Airlines Group
Concepcion,(CCP),07:42,LA217,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:42:00,Chile,LATAM Airlines Group
Lima,(LIM),07:45,LA534,LATAM Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:45:00,Peru,LATAM Airlines Group
Lima,(LIM),07:45,CX7834,Cathay Pacific,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:45:00,Peru,Swire Pacific Limited
Lima,(LIM),07:45,DL6129,Delta Air Lines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:45:00,Peru,Delta Air Lines Inc.
Lima,(LIM),07:45,QF3930,Qantas,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:45:00,Peru,Qantas Airways Limited
Calama,(CJC),07:49,JA2,JetSMART,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:49:00,Chile,Indigo Partners
Calama,(CJC),07:50,LA388,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:50:00,Chile,LATAM Airlines Group
Miami,(MIA),07:56,D51560,DHL Aero Expreso,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 07:56:00,United States,DHL Aviation (Panama) S.A.
Antofagasta,(ANF),08:00,LA354,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:00:00,Chile,LATAM Airlines Group
Iquique,(IQQ),08:00,LA906,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:00:00,Chile,LATAM Airlines Group
Temuco,(ZCO),08:05,LA33,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:05:00,Chile,LATAM Airlines Group
Concepcion,(CCP),08:12,LA5,LATAM Airlines,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:12:00,Chile,LATAM Airlines Group
Concepcion,(CCP),08:12,DL6288,Delta Air Lines,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:12:00,Chile,Delta Air Lines Inc.
Puerto Montt,(PMC),08:12,JA151,JetSMART,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:12:00,Chile,Indigo Partners
Mexico City,(MEX),08:15,LA622,LATAM Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:15:00,Mexico,LATAM Airlines Group
Puerto Montt,(PMC),08:17,H2401,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:17:00,Chile,Sky Airline S.A.
La Serena,(LSC),08:30,LA108,LATAM Airlines,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:30:00,Chile,LATAM Airlines Group
Temuco,(ZCO),08:33,H2141,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:33:00,Chile,Sky Airline S.A.
Buenos Aires,(EZE),08:35,LA653,LATAM Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:35:00,Argentina,LATAM Airlines Group
Mendoza,(MDZ),08:35,LA434,LATAM Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:35:00,Argentina,LATAM Airlines Group
Mendoza,(MDZ),08:35,IB7151,Iberia,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:35:00,Argentina,International Airlines Group
Balmaceda,(BBA),08:40,H231,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:40:00,Chile,Sky Airline S.A.
Cordoba,(COR),08:45,LA492,LATAM Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:45:00,Argentina,LATAM Airlines Group
Cordoba,(COR),08:45,IB7173,Iberia,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:45:00,Argentina,International Airlines Group
Concepcion,(CCP),08:51,H2173,Sky Airline,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 08:51:00,Chile,Sky Airline S.A.
Antofagasta,(ANF),09:00,LA358,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:00:00,Chile,LATAM Airlines Group
Montevideo,(MVD),09:05,LA404,LATAM Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:05:00,Uruguay,LATAM Airlines Group
Montevideo,(MVD),09:05,DL7394,Delta Air Lines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:05:00,Uruguay,Delta Air Lines Inc.
Montevideo,(MVD),09:05,QF4209,Qantas,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:05:00,Uruguay,Qantas Airways Limited
Iquique,(IQQ),09:10,H21336,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:10:00,Chile,Sky Airline S.A.
Castro,(MHC),09:25,JA315,JetSMART,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:25:00,Chile,Indigo Partners
Copiapo,(CPO),09:27,H2220,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:27:00,Chile,Sky Airline S.A.
